key,F001,F010_str,F245,normalized_title,normalized_edition,normalized_pub,source,match_key,F007_str,F020_str,F250_str,F260_str,id_list_str,key_array_str,F007_code,F007_desc,borrowdir_id
9789382536017 paperback,9959166873503681,,Gopichand's Usha Rani : a tale of sense and sensuality / translation of the Telugu novel Merupula marakalu and afterword by D.S. Rao.,gopichands usha rani a tale of sense and sensuality translation of the telugu novel merupula marakalu and afterword by ds rao,,,penn,gopichands usha rani a tale of sense and sensuality translation of the telugu novel merupula marakalu and afterword by ds rao,ta,9789382536017 paperback; 9382536019 paperback,,,9789382536017 paperback; 9382536019 paperback,9789382536017 paperback; 9382536019 paperback,t,Text,['018ebb1a-be50-408e-abaf-e978eff45bb7']
2001058251,9977966251503681,2001058251,"My diary from here to there / story, Amada Irma Pérez ; illustration, Maya Christina Gonzalez = Mi diario de aquí hasta allá / cuento, Amada Irma Pérez ; ilustraciones, Maya Christina Gonzalez.","my diary from here to there / story, amada irma pérez ; illustration, maya christina gonzalez = mi diario de aquí hasta allá / cuento, amada irma pérez ; ilustraciones, maya christina gonzalez.",,,penn,"my diary from here to there / story, amada irma pérez ; illustration, maya christina gonzalez = mi diario de aquí hasta allá / cuento, amada irma pérez ; ilustraciones, maya christina gonzalez.",ta,0892391758; 9780892391752; 9780892392308 (paperback); 0892392304 (paperback); 9780605344747; 0605344744,,,2001058251; 0892391758; 9780892391752; 9780892392308 (paperback); 0892392304 (paperback); 9780605344747; 0605344744,2001058251; 0892391758; 9780892391752; 9780892392308 (paperback); 0892392304 (paperback); 9780605344747; 0605344744,t,Text,['7eab06cb-0d24-4b61-9ae7-9746915ebfea']
99935069,9962271183503681,99935069,"Origin and development of land tenures in U.P., 1800-1930 / Aulad Ahmad Siddiqi.",origin and development of land tenures in up 18001930 aulad ahmad siddiqi,first edition,,penn,origin and development of land tenures in up 18001930 aulad ahmad siddiqi_first edition,ta,,First edition.,,99935069,99935069,t,Text,[]
2012354412,9959617643503681,2012354412,"Persian language and literature in Golconda : during the Qutb Shâhî reign, A.D. 1518-1687 / Najma Siddiqua.",persian language and literature in golconda during the qutb shahi reign ad 15181687 najma siddiqua,first edition,,penn,persian language and literature in golconda during the qutb shahi reign ad 15181687 najma siddiqua_first edition,ta,8174355596; 9788174355591,First edition.,,2012354412; 8174355596; 9788174355591,2012354412; 8174355596; 9788174355591,t,Text,[]
8190904329,9960003483503681,,"Regulatory and community requirements of industrial project clearance : mining, oil & gas, steel, aluminum, cement industries and other core sectors / [compiled & prepared by] Wide Research Group.",regulatory and community requirements of industrial project clearance mining oil gas steel aluminum cement industries and other core sectors compiled prepared by wide research group,first edition,,penn,regulatory and community requirements of industrial project clearance mining oil gas steel aluminum cement industries and other core sectors compiled prepared by wide research group_first edition,ta,9788190904322; 8190904329,First edition.,,9788190904322; 8190904329,9788190904322; 8190904329,t,Text,['f1cd4255-06e4-4803-972f-d8e7eb8f9ccc']
2014357917,9967718213503681,2014357917,"Religion and Rabindranath Tagore : select discourses, addresses, and letters in translation / translated from the original Bengali with an introduction by Amiya P. Sen.",religion and rabindranath tagore select discourses addresses and letters in translation translated from the original bengali with an introduction by amiya p sen,first edition,,penn,religion and rabindranath tagore select discourses addresses and letters in translation translated from the original bengali with an introduction by amiya p sen_first edition,ta,9780198098966 paperback; 0198098960 paperback,First edition.,,2014357917; 9780198098966 paperback; 0198098960 paperback,2014357917; 9780198098966 paperback; 0198098960 paperback,t,Text,"['75b56737-a80d-4975-8425-31f4e2ef746c', '1140548d-ee04-47a6-84d2-f959c12152cb']"
9789048516872 (ePub),9969583453503681,,"Revive the past : proceedings of the 39th Conference on Computer Applications and Quantitative Methods in Archaeology, Beijing, 12-16 April, 2011 / edited by Mingquan Zhou [and others].",revive the past proceedings of the 39th conference on computer applications and quantitative methods in archaeology beijing 1216 april 2011 edited by mingquan zhou and others,,,penn,revive the past proceedings of the 39th conference on computer applications and quantitative methods in archaeology beijing 1216 april 2011 edited by mingquan zhou and others,ta,9085550661; 9789048516872 (ePub); 9048516870 (ePub); 9789048516865 (pdf); 9048516862 (pdf); 9789085550662,,,9085550661; 9789048516872 (ePub); 9048516870 (ePub); 9789048516865 (pdf); 9048516862 (pdf); 9789085550662,9085550661; 9789048516872 (ePub); 9048516870 (ePub); 9789048516865 (pdf); 9048516862 (pdf); 9789085550662,t,Text,[]
"rohiḍā - keñjaḷagaḍa - rāyareśvara / lekhaka, maheśa teṇḍulakara ; prastāvanā, śivaśāhīra bābāsāheba purandare._prathamavrtti",9961061823503681,,"Rohiḍā - Keñjaḷagaḍa - Rāyareśvara / lekhaka, Maheśa Teṇḍulakara ; prastāvanā, Śivaśāhīra Bābāsāheba Purandare.","rohiḍā - keñjaḷagaḍa - rāyareśvara / lekhaka, maheśa teṇḍulakara ; prastāvanā, śivaśāhīra bābāsāheba purandare.",prathamavrtti,,penn,"rohiḍā - keñjaḷagaḍa - rāyareśvara / lekhaka, maheśa teṇḍulakara ; prastāvanā, śivaśāhīra bābāsāheba purandare._prathamavrtti",ta,,Prathamāvr̥ttī.,,,"rohiḍā - keñjaḷagaḍa - rāyareśvara / lekhaka, maheśa teṇḍulakara ; prastāvanā, śivaśāhīra bābāsāheba purandare._prathamavrtti",t,Text,['8e45c04c-bc2c-4dce-8b0c-ec798ef136c0']
9788191010087 paperback,9961064463503681,,Scaling the heights : mired in their own blood : stories of loyalty and treachery from medieval Deccan / Manohar Malgonkar.,scaling the heights mired in their own blood stories of loyalty and treachery from medieval deccan manohar malgonkar,,,penn,scaling the heights mired in their own blood stories of loyalty and treachery from medieval deccan manohar malgonkar,ta,9788191010087 paperback,,,9788191010087 paperback,9788191010087 paperback,t,Text,['499a3691-ba65-4a04-8a54-946ed1e2bea0']
teaching safer sex bill taverner editorinchief susan milstein sue montfort associate editors foreword by peggy brick_third edition,9978080323503681,,"Teaching safer sex / Bill Taverner, editor-in-chief ; Susan Milstein & Sue Montfort, associate editors ; foreword by Peggy Brick.",teaching safer sex bill taverner editorinchief susan milstein sue montfort associate editors foreword by peggy brick,third edition,,penn,teaching safer sex bill taverner editorinchief susan milstein sue montfort associate editors foreword by peggy brick_third edition,ta,,Third edition.,,,teaching safer sex bill taverner editorinchief susan milstein sue montfort associate editors foreword by peggy brick_third edition,t,Text,[]
